"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"65";"«Бескудниково», Дмитровское шоссе (от центра)";"37.5481064149132";"55.8743403107145";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А763К; А799; А763; А179; А843; АТ78";"Бескудниково";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1715951";"{type=Point, coordinates=[37.5481064149132, 55.8743403107145]}";
"66";"«Баскетбольная школа», Дубнинская улица (от центра)";"37.5577474506093";"55.8806124293294";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А167; А677К; А179; А677";"Баскетбольная школа";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1715952";"{type=Point, coordinates=[37.5577474506093, 55.8806124293294]}";
"67";"«Д/к Юность», Дубнинская улица (от центра)";"37.5577143072322";"55.8840806051129";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А167; А677К; А179; А677";"Д/к Юность";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1715953";"{type=Point, coordinates=[37.5577143072322, 55.8840806051129]}";
"68";"«Мкр. Дубки», Дубнинская улица (от центра)";"37.5576796942824";"55.8876178739915";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А167; А677К; А179; А677";"Мкр. Дубки";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1715954";"{type=Point, coordinates=[37.5576796942824, 55.8876178739915]}";
"69";"«Ин-т Стали», Дубнинская улица (от центра)";"37.5576213841246";"55.8922865043233";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А167; А677К; А179; А677";"Ин-т Стали";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1715955";"{type=Point, coordinates=[37.5576213841246, 55.8922865043233]}";
"70";"«Керамический пр.», Дубнинская улица (от центра)";"37.5575632613255";"55.8943697899337";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А167; А677К; А179; А677";"Керамический пр.";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1715956";"{type=Point, coordinates=[37.5575632613255, 55.8943697899337]}";
"71";"«Платф. Лианозово (выс.)», Керамический проезд (от центра)";"37.5549571619866";"55.8963512704889";"Керамический проезд";"Северный административный округ";"район Восточное Дегунино";"А799; А167; А677К; А179; А677";"Платф. Лианозово (выс.)";"от центра";"нет";"";"активна";"1715957";"{type=Point, coordinates=[37.5549571619866, 55.8963512704889]}";
"72";"«Ст. Ховрино (пос.)», Деповская улица (в центр)";"37.5115874291216";"55.8696342517162";"Деповская улица";"Северный административный округ";"район Западное Дегунино";"А665; А748; А154; А215К; А928";"Ст. Ховрино (пос.)";"в центр";"нет";"";"активна";"1715958";"{type=Point, coordinates=[37.5115874291216, 55.8696342517162]}";
"73";"«Весенняя ул.», Ангарская улица (от центра)";"37.514624185678";"55.8738206971876";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А665; А928";"Весенняя ул.";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1715959";"{type=Point, coordinates=[37.514624185678, 55.8738206971876]}";
"74";"«Мкр. Западное Дегунино», Ангарская улица (от центра)";"37.5174087980569";"55.8761341927622";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А665; А928";"Мкр. Западное Дегунино";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1715960";"{type=Point, coordinates=[37.5174087980569, 55.8761341927622]}";
